,ch1
0,497
1,494
2,490
3,490
4,490
5,490
6,484
7,484
8,484
9,484
10,480
11,480
12,480
13,480
14,479
15,479
16,475
17,475
18,469
19,469
20,469
21,469
22,465
23,465
24,462
25,462
26,462
27,462
28,458
29,458
30,458
31,452
32,452
33,452
34,452
35,448
36,448
37,447
38,447
39,447
40,447
41,443
42,443
43,443
44,443
45,437
46,437
47,433
48,433
49,433
50,433
51,430
52,430
53,426
54,426
55,426
56,420
57,420
58,416
59,416
60,416
61,416
62,415
63,415
64,415
65,415
66,411
67,411
68,405
69,405
70,405
71,401
72,401
73,401
74,401
75,398
76,398
77,398
78,398
79,394
80,394
81,388
82,388
83,394
84,394
85,388
86,388
87,388
88,388
89,384
90,384
91,384
92,383
93,383
94,383
95,379
96,379
97,373
98,373
99,373
100,373
101,369
102,366
103,366
104,366
105,366
106,362
107,362
108,362
109,362
110,356
111,356
112,352
113,352
114,352
115,352
116,351
117,351
118,351
119,347
120,347
121,341
122,341
123,341
124,341
125,337
126,337
127,334
128,334
129,334
130,334
131,330
132,324
133,324
134,324
135,324
136,320
137,320
138,320
139,320
140,319
141,319
142,319
143,319
144,315
145,315
146,309
147,309
148,309
149,309
150,305
151,305
152,302
153,302
154,302
155,302
156,298
157,298
158,292
159,292
160,292
161,292
162,292
163,288
164,288
165,287
166,287
167,287
168,287
169,283
170,283
171,283
172,283
173,277
174,277
175,273
176,277
177,273
178,273
179,270
180,270
181,266
182,266
183,266
184,266
185,260
186,260
187,260
188,260
189,256
190,256
191,256
192,256
193,255
194,251
195,251
196,251
197,251
198,245
199,245
200,245
201,245
202,241
203,241
204,241
205,241
206,238
207,238
208,234
209,238
210,234
211,234
212,228
213,234
214,228
215,228
216,224
217,224
218,224
219,224
220,223
221,223
222,223
223,219
224,219
225,213
226,219
227,213
228,213
229,209
230,209
231,209
232,209
233,206
234,206
235,206
236,206
237,202
238,202
239,202
240,202
241,196
242,196
243,192
244,192
245,192
246,192
247,192
248,192
249,191
250,191
251,191
252,191
253,187
254,187
255,181
256,181
257,181
258,181
259,181
260,177
261,177
262,174
263,174
264,174
265,174
266,170
267,170
268,170
269,170
270,170
271,170
272,164
273,160
274,160
275,160
276,160
277,160
278,160
279,159
280,159
281,155
282,155
283,155
284,155
285,155
286,155
287,149
288,149
289,149
290,145
291,145
292,145
293,145
294,142
295,142
296,138
297,138
298,138
299,138
300,138
301,138
302,132
303,132
304,128
305,128
306,128
307,128
308,128
309,127
310,127
311,127
312,127
313,123
314,123
315,123
316,123
317,117
318,117
319,117
320,117
321,117
322,117
323,113
324,113
325,113
326,110
327,110
328,110
329,110
330,106
331,106
332,106
333,106
334,100
335,100
336,100
337,100
338,100
339,100
340,96
341,96
342,96
343,95
344,95
345,95
346,95
347,95
348,95
349,91
350,91
351,91
352,91
353,91
354,91
355,85
356,85
357,85
358,85
359,85
360,81
361,85
362,81
363,81
364,78
365,78
366,78
367,78
368,78
369,74
370,74
371,74
372,74
373,74
374,68
375,68
376,68
377,68
378,68
379,64
380,64
381,64
382,64
383,64
384,64
385,63
386,63
387,63
388,63
389,63
390,59
391,59
392,59
393,59
394,59
395,53
396,53
397,53
398,53
399,53
400,53
401,53
402,49
403,49
404,49
405,49
406,49
407,49
408,46
409,46
410,46
411,46
412,46
413,42
414,42
415,42
416,42
417,42
418,42
419,42
420,42
421,36
422,36
423,36
424,36
425,36
426,36
427,36
428,32
429,32
430,32
431,32
432,32
433,32
434,32
435,32
436,31
437,31
438,31
439,31
440,31
441,31
442,27
443,27
444,27
445,27
446,27
447,27
448,27
449,27
450,27
451,21
452,21
453,21
454,21
455,21
456,21
457,21
458,21
459,21
460,21
461,17
462,17
463,17
464,17
465,17
466,17
467,17
468,14
469,17
470,14
471,14
472,14
473,14
474,14
475,14
476,14
477,14
478,14
479,14
480,10
481,10
482,10
483,10
484,10
485,10
486,10
487,10
488,10
489,4
490,4
491,4
492,4
493,4
494,4
495,4
496,4
497,4
498,4
499,4
500,4
501,4
502,4
503,4
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
